ID,SHDI,SIDI,Dominant 
1,0.8472,0.4447,General Room 
2,0.8745,0.4503,General Room 
3,1.0203,0.4769,General Room 
4,0.9674,0.4520,General Room 
5,1.0890,0.5068,Community Facilities
6,0.8153,0.4216,General Room 
7,0.8005,0.4093,General Room 
8,0.8011,0.4089,General Room 
9,0.5391,0.2711,General Room 
10,0.8061,0.4081,General Room 
11,1.0026,0.4677,General Room 
12,1.5621,0.6883,General Room 
13,1.5946,0.7154,General Room 
14,0.8010,0.4050,General Room 
15,0.7915,0.3997,General Room 
16,0.8161,0.4131,General Room 
17,0.9299,0.4751,General Room 
18,0.8264,0.4176,General Room 
19,0.7702,0.3892,General Room 
20,0.7588,0.3936,General Room 
21,1.4981,0.6857,General Room 
22,1.2135,0.6538,General Room 
23,1.2161,0.5907,General Room 
24,1.2639,0.6354,General Room 
25,1.0031,0.5364,General Room 
26,0.5565,0.2548,General Room 
27,0.9428,0.4717,General Room 
28,1.1499,0.5339,General Room 
29,1.5381,0.6741,General Room 
30,0.8890,0.4828,General Room 
31,0.8643,0.4612,General Room 
32,0.6964,0.3449,General Room 
33,0.7278,0.3598,General Room 
34,0.8426,0.4476,General Room 
35,0.9511,0.5000,General Room 
36,1.2995,0.5685,General Room 
37,0.7462,0.3720,General Room 
